time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-29 00:00:00+00:00,10,4,104,10
2023-07-30 00:00:00+00:00,21,7,40,10
2023-07-31 00:00:00+00:00,43,13,216,12
2023-08-01 00:00:00+00:00,10,3,35,9
2023-08-02 00:00:00+00:00,12,4,29,9
2023-08-03 00:00:00+00:00,11,4,36,4
2023-08-04 00:00:00+00:00,12,4,28,8
2023-08-05 00:00:00+00:00,15,7,6,5
2023-08-06 00:00:00+00:00,13,5,22,6
2023-08-07 00:00:00+00:00,24,6,92,14
2023-08-08 00:00:00+00:00,13,3,51,11
2023-08-09 00:00:00+00:00,28,8,122,11
2023-08-10 00:00:00+00:00,15,4,42,14
2023-08-11 00:00:00+00:00,13,2,101,13
