time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-05 00:00:00+00:00,15,7,6,5
2023-08-06 00:00:00+00:00,13,5,22,6
2023-08-07 00:00:00+00:00,24,6,92,14
2023-08-08 00:00:00+00:00,13,3,51,11
2023-08-09 00:00:00+00:00,28,8,122,11
2023-08-10 00:00:00+00:00,15,4,42,14
2023-08-11 00:00:00+00:00,14,2,101,13
2023-08-12 00:00:00+00:00,19,5,157,9
2023-08-13 00:00:00+00:00,13,1,40,6
2023-08-14 00:00:00+00:00,18,6,280,13
2023-08-15 00:00:00+00:00,24,10,172,11
2023-08-16 00:00:00+00:00,14,3,96,12
2023-08-17 00:00:00+00:00,13,2,22,9
2023-08-18 00:00:00+00:00,16,5,2,2
