time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-29 00:00:00+00:00,17,9,856,287
2023-09-30 00:00:00+00:00,113,15,570,72
2023-10-01 00:00:00+00:00,140,11,328,51
2023-10-02 00:00:00+00:00,95,17,238,62
2023-10-03 00:00:00+00:00,100,15,242,44
2023-10-04 00:00:00+00:00,214,30,475,59
2023-10-05 00:00:00+00:00,42,15,598,132
2023-10-06 00:00:00+00:00,147,17,436,74
2023-10-07 00:00:00+00:00,393,34,728,57
2023-10-08 00:00:00+00:00,115,29,604,66
2023-10-09 00:00:00+00:00,122,27,453,54
2023-10-10 00:00:00+00:00,79,23,414,61
2023-10-11 00:00:00+00:00,8,8,91,34
2023-10-12 00:00:00+00:00,12,9,128,36
