time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-22 00:00:00+00:00,14.0,7.0,15,7
2023-11-23 00:00:00+00:00,4.0,4.0,6,6
2023-11-24 00:00:00+00:00,15.0,5.0,26,5
2023-11-25 00:00:00+00:00,19.0,9.0,113,4
2023-11-26 00:00:00+00:00,24.0,9.0,5,5
2023-11-27 00:00:00+00:00,16.0,8.0,12,6
2023-11-28 00:00:00+00:00,5.0,4.0,23,6
2023-11-29 00:00:00+00:00,26.0,6.0,6,2
2023-11-30 00:00:00+00:00,2.0,2.0,53,6
2023-12-01 00:00:00+00:00,4.0,2.0,52,10
2023-12-02 00:00:00+00:00,,,22,8
2023-12-03 00:00:00+00:00,3.0,3.0,28,5
2023-12-04 00:00:00+00:00,9.0,3.0,17,6
2023-12-05 00:00:00+00:00,13.0,8.0,28,6
