time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-04 00:00:00+00:00,214,30,475,59
2023-10-05 00:00:00+00:00,42,15,598,132
2023-10-06 00:00:00+00:00,147,17,436,74
2023-10-07 00:00:00+00:00,393,34,728,57
2023-10-08 00:00:00+00:00,115,29,604,66
2023-10-09 00:00:00+00:00,122,27,453,54
2023-10-10 00:00:00+00:00,79,23,414,61
2023-10-11 00:00:00+00:00,8,8,91,34
2023-10-12 00:00:00+00:00,18,11,131,36
2023-10-13 00:00:00+00:00,13,7,63,19
2023-10-14 00:00:00+00:00,38,20,30,19
2023-10-15 00:00:00+00:00,49,13,133,16
2023-10-16 00:00:00+00:00,58,15,196,13
2023-10-17 00:00:00+00:00,74,19,230,19
