time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-05 00:00:00+00:00,17,5,38,6
2023-03-06 00:00:00+00:00,5,4,62,5
2023-03-07 00:00:00+00:00,5,3,51,5
2023-03-08 00:00:00+00:00,3,1,96,5
2023-03-09 00:00:00+00:00,13,7,28,4
2023-03-10 00:00:00+00:00,1,1,2,2
2023-03-11 00:00:00+00:00,2,2,8,3
2023-03-12 00:00:00+00:00,3,2,1,1
2023-03-13 00:00:00+00:00,2,2,6,4
2023-03-14 00:00:00+00:00,1,1,8,6
2023-03-15 00:00:00+00:00,7,3,3,2
2023-03-16 00:00:00+00:00,2,1,32,5
2023-03-17 00:00:00+00:00,1,1,4,4
2023-03-18 00:00:00+00:00,2,2,17,5
