time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-19 00:00:00+00:00,4.0,1.0,53,3
2023-02-20 00:00:00+00:00,5.0,3.0,8,2
2023-02-21 00:00:00+00:00,,,11,2
2023-02-22 00:00:00+00:00,1.0,1.0,5,4
2023-02-23 00:00:00+00:00,16.0,5.0,41,1
2023-02-24 00:00:00+00:00,8.0,4.0,48,4
2023-02-25 00:00:00+00:00,14.0,5.0,139,3
2023-02-26 00:00:00+00:00,19.0,5.0,303,4
2023-02-27 00:00:00+00:00,8.0,3.0,190,8
2023-02-28 00:00:00+00:00,18.0,4.0,255,4
2023-03-01 00:00:00+00:00,2.0,1.0,105,8
2023-03-02 00:00:00+00:00,10.0,6.0,71,6
2023-03-03 00:00:00+00:00,2.0,2.0,37,7
2023-03-04 00:00:00+00:00,20.0,5.0,126,6
